audio_source,policy,track_count,reference_words,hypothesis_words,word_substitutions,word_deletions,word_insertions,wer,cer,word_substitution_rate,word_deletion_rate,word_insertion_rate,masked_hypothesis_words,untimestamped_hypothesis_words
original_mix,masked,30,2943,1786,666,1186,29,0.6391437308868502,0.48342626064579375,0.22629969418960244,0.40299014610941214,0.009853890587835541,35,0
original_mix,unmasked,30,2943,1821,711,1151,29,0.6425416241930003,0.4881441088168617,0.2415902140672783,0.3910975195378865,0.009853890587835541,0,0
vocal_stem,masked,30,2943,2878,818,177,112,0.3761467889908257,0.14184179890938056,0.27794767244308527,0.060142711518858305,0.03805640502888209,44,0
vocal_stem,unmasked,30,2943,2924,825,171,152,0.3900781515460415,0.15348324244837938,0.2803261977573904,0.0581039755351682,0.05164797825348284,0,0
