ground_truth_label,luk,cengkok,gregel,embat,nggandhul
luk,72.52308168589886,17.166794677887715,21.849772142843054,35.98629749488566,18.86164244921564
cengkok,50.469044241659304,39.12242686890574,18.223742667477243,36.985592114675896,20.704605108844984
gregel,37.46099750210263,14.817398318403038,61.64231927026552,41.2656272009979,19.42399839977387
embat,16.28102668056075,8.027948754797912,11.210283795024623,53.2563030058662,23.689981150668398
nggandhul,23.04393274083383,8.819649270727382,10.644903658737407,31.90138855200585,33.40967705118061
