experiment,setting,display_name,models,support_unique_syllables,macro_precision_mean,macro_precision_sample_standard_deviation,macro_recall_mean,macro_recall_sample_standard_deviation,macro_f1_mean,macro_f1_sample_standard_deviation,macro_average_precision_mean,macro_average_precision_sample_standard_deviation,macro_roc_auc_mean,macro_roc_auc_sample_standard_deviation
temporal_five_label_musicfm,musicfm,MusicFM,15,6772,0.2769439488410852,0.06201527630017632,0.48105573805131124,0.0928802132351065,0.32939919073788215,0.05030741874636453,0.28784197230833697,0.054634236296844184,0.7614892335231663,0.04540820035431849
temporal_five_label_musicfm_pitch,musicfm_pitch,MusicFM + pitch,15,6772,0.2723591911716354,0.06314080273857632,0.5199076157642339,0.11746157787917193,0.33255022494638414,0.056116249567444605,0.29012060039907905,0.0544104096670579,0.765498758475377,0.0459291091711817
