ground_truth_label,luk,cengkok,gregel,embat,nggandhul
luk,72.38677602308051,16.235592376971688,21.984725167841628,29.269867369672184,15.13333638457256
cengkok,49.31076174200902,35.8464729694583,16.693707047997744,30.082245521769263,18.02057175194971
gregel,37.22374560133676,14.879318313167204,61.28406782567367,31.711218354670663,15.75620960876788
embat,16.715190846815776,5.771583493190948,11.422293877739422,44.42042368425596,19.47645676009101
nggandhul,22.781147168381167,6.889958061774794,11.014824478198303,26.344975170389976,26.590128523187165
