experiment,setting,display_name,label,support_unique_syllables,models,precision_mean,precision_sample_standard_deviation,recall_mean,recall_sample_standard_deviation,f1_mean,f1_sample_standard_deviation,average_precision_mean,average_precision_sample_standard_deviation,roc_auc_mean,roc_auc_sample_standard_deviation,threshold_mean,threshold_sample_standard_deviation
temporal_five_label_musicfm,musicfm,MusicFM,luk,1658,15,0.5134881934733241,0.07378266271323237,0.723867760230805,0.048072812976671625,0.5959545358621123,0.044593296395161276,0.5788930443099604,0.05784290869166941,0.8219594982537732,0.019651596881152773,0.5040000000000001,0.10252525821195756
temporal_five_label_musicfm,musicfm,MusicFM,cengkok,374,15,0.28289411998073727,0.10651159341733674,0.35846472969458304,0.1264792851928853,0.2826761020567417,0.06017818418400457,0.2285352113266673,0.058280597408327216,0.8123886121439825,0.028589517552721166,0.7366666666666667,0.13014643766963135
temporal_five_label_musicfm,musicfm,MusicFM,gregel,613,15,0.3625423474101725,0.0995877098468912,0.6128406782567367,0.09011751733404207,0.44581075901996325,0.06989948494061252,0.37209399591188513,0.10687022142319522,0.8693508617731527,0.019608430793294565,0.6940000000000001,0.12511708801872634
temporal_five_label_musicfm,musicfm,MusicFM,embat,563,15,0.13578840428812491,0.08424221849816725,0.4442042368425595,0.3129155794690365,0.19367514430908708,0.1100684379133142,0.16485264204238803,0.09464804252975556,0.665346750450943,0.0979635410041888,0.49,0.19621416870348585
temporal_five_label_musicfm,musicfm,MusicFM,nggandhul,351,15,0.09000667905306724,0.037539278473044696,0.2659012852318716,0.1260315395289731,0.12887941244150666,0.04945311827609326,0.09483496795078421,0.04223191737923073,0.6384004449939802,0.0952778134115062,0.626,0.1308106592423896
temporal_five_label_musicfm_pitch,musicfm_pitch,MusicFM + pitch,luk,1658,15,0.5090820035932215,0.06246286797562673,0.7252308168589885,0.04417032699652987,0.5953119610707546,0.04413087835577713,0.5774248188757185,0.04968507757676842,0.8209834205635619,0.01898621711383816,0.49999999999999994,0.11964232409262916
temporal_five_label_musicfm_pitch,musicfm_pitch,MusicFM + pitch,cengkok,374,15,0.27331790219999813,0.09454776906118385,0.3912242686890574,0.12846159424356374,0.29582543940440303,0.054584573509279824,0.23104829525838463,0.04918039610777237,0.8129003148599127,0.028110051442647704,0.7246666666666666,0.1370019117002526
temporal_five_label_musicfm_pitch,musicfm_pitch,MusicFM + pitch,gregel,613,15,0.36152765617098787,0.10805001149780315,0.6164231927026551,0.05739023030577385,0.4474486454176149,0.07986223956643179,0.3703409539753058,0.11711801713108409,0.8664300782714415,0.02176361692544615,0.7260000000000001,0.11974973903938164
temporal_five_label_musicfm_pitch,musicfm_pitch,MusicFM + pitch,embat,563,15,0.1265348480577917,0.07335917404356303,0.532563030058662,0.3582015419007211,0.19271347992788376,0.10744426131208547,0.1698354723401739,0.09297457537396829,0.6740676501237348,0.09702901430493166,0.43533333333333335,0.19055807763613944
temporal_five_label_musicfm_pitch,musicfm_pitch,MusicFM + pitch,nggandhul,351,15,0.09133354583617753,0.039984504026083084,0.33409677051180614,0.2446850927487291,0.13145159891126462,0.06061000065833949,0.10195346154581232,0.04087105943820937,0.6531123285582344,0.10048674002547259,0.5933333333333334,0.12865605680410444
